,Unnamed: 0,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution,FileName,TemporalType,Land/Ocean,Directory
1,IP Forest Management,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
2,Peatland Protection,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
3,Wetland Protection,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
4,Managed Grazing,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
5,Silvopasture,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
6,Conservation Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
7,Regenerative Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
8,Improved Rice,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
9,SRI,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
10,Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
11,Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
12,Afforestation,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
13,Bamboo,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
14,Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
15,Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
16,Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
17,Biochar,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
18,Irrigation Efficiency,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
19,Nutrient Management,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
20,Smallholder Intensification,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
21,Tree Intercropping,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
22,Grassland Protection,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
23,Farmland Restoration,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
24,Inaccessible,0.0,0.0,0.0,0.0,0.0,AEZ2_Forest_good_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ2_Forest_good_minimal.csv
0,Forest Protection,0.23209835076273566,2.449164017971436,0.767742571142527,0.9998409219052626,8.10142542645351,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
1,IP Forest Management,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
2,Peatland Protection,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
3,Wetland Protection,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
4,Managed Grazing,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
5,Silvopasture,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
6,Conservation Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
7,Regenerative Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
8,Improved Rice,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
9,SRI,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
10,Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
11,Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
12,Afforestation,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
13,Bamboo,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
14,Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
15,Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
16,Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
17,Biochar,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
18,Irrigation Efficiency,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
19,Nutrient Management,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
20,Smallholder Intensification,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
21,Tree Intercropping,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
22,Grassland Protection,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
23,Farmland Restoration,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
24,Inaccessible,0.0,0.0,0.0,0.0,0.0,AEZ5_Forest_marginal_minimal.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ5_Forest_marginal_minimal.csv
0,Forest Protection,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
1,IP Forest Management,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
2,Peatland Protection,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
3,Wetland Protection,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
4,Managed Grazing,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
5,Silvopasture,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
6,Conservation Agriculture,0.0,0.0,0.0,0.0,0.0,AEZ20_Irrigated_Cropland_marginal_moderate.csv,Global_Arctic,land,drawdown-master/data/land/allocation/Global_Arctic/AEZ20_Irrigated_Cropland_marginal_moderate.csv
